release_year,avg_popularity,avg_danceability,avg_energy,avg_key,avg_loudness,avg_mode,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo
1963,28.666666666666668,0.493,0.6176666666666666,7.333333333333333,-11.106666666666667,1,0.03913333333333333,0.5476666666666666,0.003156466666666667,0.06603333333333333,0.8106666666666666,167.47966666666667
1964,48.4,0.576,0.7224,7.6,-7.3374,1,0.06618,0.4177,2.906e-5,0.09734,0.7412,131.1998
1965,44.4,0.5622,0.7447999999999999,5,-7.9134,0.8,0.04172,0.34653,1.34e-5,0.15861999999999998,0.6732,109.0264
1966,54.5,0.470875,0.715625,3.125,-8.100375,0.5,0.062375,0.279775,0.0169721475,0.2649,0.651625,132.863
1967,43.4,0.4552,0.51745,5,-10.5117,0.55,0.038065,0.3802465,0.068080019,0.216095,0.5226,117.4889
1968,54.38461538461539,0.4570769230769231,0.6433846153846154,5.076923076923077,-10.890076923076922,0.8461538461538461,0.07607692307692307,0.22905738461538463,0.21252161615384615,0.2064,0.5726923076923077,121.9826923076923
1969,47.714285714285715,0.5103214285714286,0.6023928571428572,5.285714285714286,-9.931321428571428,0.7857142857142857,0.060260714285714286,0.25001428571428574,0.08391901857142857,0.183525,0.5714642857142858,113.63939285714287
1970,47.325,0.536425,0.5691525000000001,4.6,-10.580775,0.825,0.053795,0.3064620925,0.071019775500000007,0.1593275,0.612975,122.619675
1971,45.7906976744186,0.4976279069767442,0.5821325581395349,4.906976744186046,-11.07246511627907,0.6976744186046512,0.049265116279069765,0.35952809302325583,0.07448877534883722,0.18593023255813954,0.5079069767441861,118.96202325581396
1972,50.92857142857143,0.5249761904761905,0.6031904761904762,4.9523809523809526,-10.852714285714287,0.7142857142857143,0.042507142857142854,0.2662454335714286,0.06156812761904762,0.19137380952380953,0.6266666666666667,121.31792857142857
1973,42.25,0.46892307692307694,0.6482115384615385,5.480769230769231,-9.303442307692308,0.75,0.06296538461538462,0.2313498076923077,0.04569663826923077,0.21042115384615384,0.5899480769230769,126.87280769230769
1974,39.204081632653065,0.48389795918367345,0.6234081632653061,5.346938775510204,-9.98338775510204,0.7142857142857143,0.0587469387755102,0.3223378775510204,0.01935159448979592,0.2228857142857143,0.5477142857142857,119.42397959183674
1975,44.68852459016394,0.5024918032786885,0.5521803278688525,5.049180327868853,-11.098245901639345,0.7377049180327869,0.044995081967213114,0.3260967704918033,0.04677208918032787,0.20025081967213115,0.531216393442623,121.81268852459016
1976,43.3125,0.53403125,0.615390625,5.578125,-9.404578125,0.796875,0.05279375,0.22128135937500001,0.03829022375,0.18185,0.5963234375,126.977203125
1977,46.6,0.5262,0.659623076923077,5.461538461538462,-8.81203076923077,0.8461538461538461,0.057798461538461535,0.21235832753846154,0.052833636153846154,0.20660307692307692,0.5927384615384615,131.3644
1978,44.39506172839506,0.5468024691358024,0.6826913580246914,5.320987654320987,-8.724481481481481,0.6419753086419753,0.06785185185185186,0.16480882716049383,0.02713510024691358,0.20270617283950618,0.6112098765432099,123.56232098765432
1979,49,0.5605384615384615,0.6736615384615384,4.676923076923077,-8.723215384615385,0.676923076923077,0.05405846153846154,0.13247706153846153,0.1322240223076923,0.14677846153846152,0.6007015384615385,126.06626153846153
1980,48.20253164556962,0.5568227848101266,0.7071012658227848,4.329113924050633,-8.880974683544304,0.8227848101265823,0.056577215189873416,0.17433986075949368,0.11383091379746836,0.19398860759493672,0.6292278481012659,126.38788607594937
1981,47.787234042553195,0.5143191489361703,0.7282978723404255,5.382978723404255,-8.181936170212767,0.6170212765957447,0.055208510638297875,0.14902871489361702,0.1628389885106383,0.22636808510638298,0.6401489361702127,127.46112765957447
1982,45.21153846153846,0.6129807692307693,0.6764038461538462,4.865384615384615,-8.396615384615385,0.7115384615384616,0.053788461538461535,0.16312226923076922,0.05570627519230769,0.16340961538461538,0.5860576923076923,118.98315384615384
1983,47.54716981132076,0.566433962264151,0.7503396226415094,5.716981132075472,-8.865264150943396,0.660377358490566,0.050235849056603776,0.09842971886792452,0.06805787962264151,0.18905849056603774,0.6615283018867925,122.90862264150944
1984,45.23529411764706,0.5484901960784314,0.7289215686274509,5.666666666666667,-8.455039215686275,0.6862745098039216,0.049623529411764705,0.12807464705882352,0.016801101176470587,0.1976372549019608,0.6396274509803922,126.36605882352941
1985,46.955882352941174,0.5811911764705883,0.7116764705882352,5.485294117647059,-9.666882352941176,0.7352941176470589,0.04704264705882353,0.1662712161764706,0.09223569235294117,0.18483235294117648,0.639235294117647,127.77898529411765
1986,49.94230769230769,0.5732692307692308,0.6789615384615385,5.0576923076923075,-10.09651923076923,0.75,0.049365384615384617,0.1279238269230769,0.012940755384615385,0.18290384615384617,0.5834807692307692,123.07001923076923
1987,42.9054054054054,0.5296081081081081,0.7565945945945945,4.891891891891892,-8.496662162162162,0.8648648648648649,0.04386216216216216,0.11246732432432432,0.05030569418918919,0.1884972972972973,0.5439581081081081,122.23797297297297
1988,46.29545454545455,0.5680227272727273,0.7009090909090909,4.863636363636363,-9.669431818181819,0.8863636363636364,0.03502045454545454,0.12653670454545454,0.030405185681818183,0.1835340909090909,0.5912954545454545,119.65468181818181
1989,52.270833333333336,0.5267291666666667,0.7428125,5.791666666666667,-8.596416666666666,0.75,0.046635416666666665,0.09391975,0.16278390020833333,0.19878125,0.5470416666666666,124.43447916666666
1990,52.666666666666664,0.520074074074074,0.6834444444444444,4.592592592592593,-8.73037037037037,0.8888888888888888,0.042948148148148145,0.17849344444444445,0.030431200370370372,0.17452592592592592,0.5016296296296296,122.54977777777778
1991,37.06521739130435,0.49967391304347825,0.736,6.108695652173913,-8.641782608695653,0.6739130434782609,0.05852391304347826,0.09082789565217392,0.08509574695652174,0.16304565217391304,0.4651304347826087,120.06452173913044
1992,51.611111111111114,0.5478055555555555,0.6926388888888889,5,-9.470638888888889,0.75,0.05551944444444445,0.14317648055555557,0.029721675833333336,0.19197777777777777,0.5604722222222223,122.8121388888889
1993,39.68888888888889,0.4832222222222222,0.7200666666666666,4.844444444444444,-8.428666666666667,0.8,0.051906666666666663,0.1339307608888889,0.06915778466666667,0.20857555555555557,0.5138,123.31444444444445
1994,49.111111111111114,0.4499793650793651,0.6684555555555556,5.174603174603175,-8.515888888888888,0.746031746031746,0.04586825396825397,0.1251244396825397,0.03174407158730159,0.19826190476190475,0.4518761904761905,123.70757142857143
1995,46.67391304347826,0.46517391304347827,0.6541739130434783,4.739130434782608,-8.795021739130435,0.782608695652174,0.04714565217391304,0.19884927173913045,0.08732783108695652,0.18476521739130436,0.4857391304347826,122.71039130434782
1996,39.76,0.50132,0.71116,4.52,-7.23808,0.92,0.052008,0.14641568,0.0306121264,0.214356,0.58916,131.8528
1997,45.84507042253521,0.47038028169014084,0.7489211267605633,5.605633802816901,-7.479267605633803,0.7746478873239436,0.046,0.10134279718309859,0.11302747408450704,0.3420211267605634,0.4518450704225352,118.52018309859154
1998,45.52272727272727,0.5367954545454545,0.7582727272727272,5.886363636363637,-7.600227272727273,0.6363636363636364,0.05266590909090909,0.14722308863636363,0.06015662795454546,0.2152,0.5900454545454545,123.59084090909091
1999,54.982142857142854,0.52125,0.6965714285714286,4.803571428571429,-7.485339285714286,0.6964285714285714,0.05191607142857143,0.18291544285714287,0.024384610535714286,0.25235,0.5288928571428572,119.76235714285714
2000,43.148148148148145,0.511,0.7632222222222222,5.7407407407407405,-6.792851851851852,0.6851851851851852,0.04710740740740741,0.12972384611111112,0.05475784,0.23235185185185186,0.566012962962963,127.26325925925926
2001,41.17567567567568,0.5089054054054054,0.7549189189189189,5.22972972972973,-6.218108108108108,0.7027027027027027,0.060485135135135135,0.10222500594594595,0.06517378716216216,0.1815472972972973,0.5347837837837838,125.9555
2002,48.979166666666664,0.48652083333333335,0.74375,5.0625,-6.433541666666667,0.7083333333333334,0.0609625,0.13111611208333335,0.10580541166666667,0.23359583333333334,0.4414604166666667,124.13445833333333
2003,44.589285714285715,0.5038928571428571,0.7350178571428572,4.910714285714286,-6.3215,0.7142857142857143,0.0576875,0.15038561071428572,0.13342746839285716,0.18701964285714287,0.5476267857142857,128.0300892857143
2004,46.328947368421055,0.4923157894736842,0.7686447368421052,5.434210526315789,-6.290105263157895,0.6578947368421053,0.06466842105263158,0.11269742236842105,0.03851629407894737,0.17977236842105263,0.45259473684210527,122.74102631578947
2005,39.152542372881356,0.537271186440678,0.7660254237288135,5.872881355932203,-6.479161016949153,0.6610169491525424,0.06011186440677966,0.15018430932203392,0.07036191788135593,0.233764406779661,0.568635593220339,125.41142372881356
2006,49.19101123595506,0.48952808988764046,0.8036741573033708,5.842696629213483,-5.079685393258427,0.7303370786516854,0.06690674157303371,0.10450459584269663,0.05024931280898877,0.20995168539325842,0.5164651685393259,131.49867415730338
2007,34.4078947368421,0.5448552631578948,0.7547236842105263,5.934210526315789,-6.26446052631579,0.6973684210526315,0.048119736842105264,0.17467807763157894,0.032874254473684215,0.1871171052631579,0.5861592105263158,125.7136447368421
2008,27.732758620689655,0.5078275862068965,0.7782586206896551,5.241379310344827,-6.432155172413793,0.7155172413793104,0.05667758620689655,0.1253117051724138,0.06738991715517241,0.2107844827586207,0.5925715517241379,132.44812068965518
2009,33.42622950819672,0.5068360655737705,0.7315868852459017,5.245901639344262,-7.503918032786885,0.7049180327868853,0.05067213114754098,0.1363270868852459,0.12152501180327868,0.20147540983606557,0.5406655737704918,126.2250655737705
2010,40.77922077922078,0.5412467532467532,0.7848181818181819,5.103896103896104,-6.569402597402597,0.7532467532467533,0.07179350649350649,0.11063905714285714,0.10917759506493507,0.17565454545454545,0.557974025974026,125.60328571428572
2011,40.72857142857143,0.5072714285714286,0.8071857142857143,5.385714285714286,-5.470942857142857,0.6571428571428571,0.06915857142857143,0.08591025942857143,0.031807144714285716,0.22230571428571427,0.5012357142857143,121.44381428571428
2012,37.319148936170215,0.5024255319148936,0.7797234042553192,5.361702127659575,-6.004170212765957,0.5531914893617021,0.06327021276595744,0.08993607170212767,0.11508013127659575,0.21928297872340424,0.46797659574468087,133.67751063829786
2013,44.351063829787236,0.5120531914893617,0.799468085106383,5.51063829787234,-6.016787234042553,0.6914893617021277,0.07249574468085106,0.10420360244680851,0.11047083585106383,0.1998212765957447,0.48521914893617024,121.08596808510639
2014,36.50632911392405,0.47348101265822784,0.7064556962025317,5.7215189873417724,-7.064860759493671,0.620253164556962,0.059069620253164555,0.16621912746835443,0.13343638620253165,0.1954392405063291,0.372220253164557,124.37440506329114
2015,43.228070175438596,0.5314035087719299,0.8022456140350878,5.421052631578948,-5.761842105263158,0.631578947368421,0.06466491228070176,0.1175154052631579,0.05687271157894737,0.2098298245614035,0.5311754385964912,121.25766666666667
2016,42.04615384615385,0.5308,0.7135076923076923,5.569230769230769,-7.110430769230769,0.6,0.05646307692307692,0.22046845692307693,0.1313895913846154,0.18777384615384615,0.47876615384615384,124.60269230769231
2017,45.82666666666667,0.4938,0.7210133333333333,5.373333333333333,-6.79616,0.6,0.067504,0.15048493186666667,0.113631896,0.20830133333333334,0.384308,125.74629333333333
2018,47.11538461538461,0.5201826923076923,0.7885769230769231,5.413461538461538,-5.719576923076923,0.6730769230769231,0.07926346153846155,0.07402434528846154,0.06406245951923077,0.20512980769230768,0.4687673076923077,129.35516346153847
2019,44.846774193548384,0.5065201612903226,0.8147669354838709,5.379032258064516,-5.429512096774194,0.6491935483870968,0.07572137096774194,0.0757705147983871,0.06189795375,0.2098758064516129,0.44055080645161293,129.26631451612903
2020,54.56818181818182,0.4951590909090909,0.72375,4.7727272727272725,-5.911818181818182,0.7045454545454546,0.07270227272727273,0.11431067045454546,0.05580263159090909,0.21847272727272726,0.45538181818181817,130.1660909090909
2021,46.608695652173914,0.4589130434782609,0.7449130434782608,5.695652173913044,-5.51295652173913,0.8260869565217391,0.0471,0.1535740352173913,0.04667070347826087,0.24984347826086956,0.46108695652173914,132.33065217391305
2022,61.892857142857146,0.5136785714285714,0.7980357142857143,4.464285714285714,-5.624535714285714,0.6428571428571429,0.0787,0.13873110714285714,0.08441677857142857,0.23484285714285713,0.5025,121.68907142857142
2023,49.833333333333336,0.5180686274509804,0.811735294117647,5.686274509803922,-5.201117647058823,0.7058823529411765,0.0710107843137255,0.053134598039215684,0.044336534313725494,0.20183627450980393,0.4946598039215686,130.70799019607844
